manifest_id,path,row_count,sha256,allowed_use,blocked_use,policy_impact
G26-MANIFEST-001,reports/joint_interface_20260630/NODI_COMSOL_GATE26_SIDEWALL_EXTERNAL_AI_FEEDBACK_CAPTURE_20260630.md,NA,74406f95ec859a75f7b00a4fc7a6e4153c7f2bf3dd54190777328d4f889657a4,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion,none_no_auth
G26-MANIFEST-002,reports/joint_interface_20260630/NODI_COMSOL_GATE26_SIDEWALL_GATE25_SOURCE_LOCK_20260630.csv,11,e9fa1742d66485ccd15ae40541076c782b684f4ca9b84e0f81485da1d877cf8b,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion,none_no_auth
G26-MANIFEST-003,reports/joint_interface_20260630/NODI_COMSOL_GATE26_SIDEWALL_EXTERNAL_REVIEW_INTAKE_20260630.csv,1,67e312910874de4758b9f0465db3a61f6473c993c7390ed63bdec2b276bc8f47,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion,none_no_auth
G26-MANIFEST-004,reports/joint_interface_20260630/NODI_COMSOL_GATE26_SIDEWALL_BROWNIAN_REFLECTION_REQUIREMENTS_20260630.csv,12,b747a1fbe8a756019ff330c368e5c9fd5831d5251533ca055bcf847847a831ff,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion,none_no_auth
G26-MANIFEST-005,reports/joint_interface_20260630/NODI_COMSOL_GATE26_SIDEWALL_PACKAGE_C_REQUIRED_TEST_MATRIX_20260630.csv,20,98c1ebd43ca28406d89b14e0ff680582cf7eb0b58c1aad57a985f4cf98740449,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion,none_no_auth
G26-MANIFEST-006,reports/joint_interface_20260630/NODI_COMSOL_GATE26_SIDEWALL_REQUIRED_SCHEMA_FIELDS_20260630.csv,46,3a560fca0903e11be27c5d365987096e0038933bc881acff80e379e15df4c049,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion,none_no_auth
G26-MANIFEST-007,reports/joint_interface_20260630/NODI_COMSOL_GATE26_SIDEWALL_BLOCKED_MODEL_LEDGER_20260630.csv,8,aa6997c3186eed969fb973df454a72e0485e84a08ad6983275bb08a84dd112c8,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion,none_no_auth
G26-MANIFEST-008,reports/joint_interface_20260630/NODI_COMSOL_GATE26_SIDEWALL_NO_AUTH_FIREWALL_20260630.csv,1,c1c0d61d22aeeda57ae15abb42b2e5382b1be49eae7b81c7c8a732501f6ab2d2,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion,none_no_auth
G26-MANIFEST-009,reports/joint_interface_20260630/NODI_COMSOL_GATE26_SIDEWALL_VALIDATION_PLAN_20260630.csv,4,98e4a6cefe9ce927cff6bf9e6b78d7aa549f9043a62e85f7e1eeb46127628d3d,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion,none_no_auth
G26-MANIFEST-010,reports/joint_interface_20260630/NODI_COMSOL_GATE26_SIDEWALL_REPORT_20260630.json,NA,323c73550d6ad2192cc96560e93b96c1c63e1bf2c9c4dffd11e57e4ecfef5233,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion,none_no_auth
