manifest_id,path,row_count,sha256,status,allowed_use,blocked_use
G15J-MANIFEST-001,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_RELEASE_HEAD_RECONCILIATION_20260630.csv,11,4f2cdbfa12b3b8bd16082709181978b6e9fd31b00fc45a5b05a9521607fc4321,GENERATED_GATE15_REVIEW_ONLY_NO_AUTH,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics
G15J-MANIFEST-002,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_COMSOL_GATE14_RECEIPT_20260630.csv,16,b6bd0640b721d28a1a369f9007f38a749a92d3f13eaf1325576b123fe693a246,GENERATED_GATE15_REVIEW_ONLY_NO_AUTH,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics
G15J-MANIFEST-003,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_COMSOL_GATE14_PARTIAL_REASON_20260630.csv,1,b04270bc40666e7aae650011ef9b07a547c80a2f72aeafd81d93f6ea0f05ace3,GENERATED_GATE15_REVIEW_ONLY_NO_AUTH,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics
G15J-MANIFEST-004,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_SCHEMA_CROSS_SIGNOFF_20260630.csv,33,5e264b7f6f330c165bdf73f4393c404454818799845d0e3262e633e8e115a552,GENERATED_GATE15_REVIEW_ONLY_NO_AUTH,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics
G15J-MANIFEST-005,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_PRODUCER_REQUEST_RESOLUTION_20260630.csv,8,721bff86ee1494efcc4afeade2d5f8c8f50cdf254076469173037a2ee51cf06c,GENERATED_GATE15_REVIEW_ONLY_NO_AUTH,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics
G15J-MANIFEST-006,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_STATIC_PREFLIGHT_READINESS_BOARD_20260630.csv,4,03d4d88458e3ae5c839f725b04388a672fdb23d286ca272a61e4d78202c4c478,GENERATED_GATE15_REVIEW_ONLY_NO_AUTH,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics
G15J-MANIFEST-007,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_COMSOL_GATE15_INSTRUCTION_PACKAGE_20260630.csv,7,9ed0044a8b824bc06bf0bf75c1aca6de059a77daca78e77d0ead1321586d8167,GENERATED_GATE15_REVIEW_ONLY_NO_AUTH,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics
G15J-MANIFEST-008,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_MUTATION_CATALOG_20260630.csv,100000,07d98cdc8ee20690f0e39d8fc9907c4254deee644a4141223c14a34266614b8e,GENERATED_GATE15_REVIEW_ONLY_NO_AUTH,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics
G15J-MANIFEST-009,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_MUTATION_RESULTS_20260630.csv,100000,5eaa9f11a47093ac52ef37e0a4f688d09e0fe699667834d16517a5d7332b430b,GENERATED_GATE15_REVIEW_ONLY_NO_AUTH,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics
G15J-MANIFEST-010,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_NO_AUTH_FIREWALL_V5_20260630.csv,1,c737393755650fbc1d6839a73199da612434e7b3db1ef2d0f1de7db17087fd55,GENERATED_GATE15_REVIEW_ONLY_NO_AUTH,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics
G15J-MANIFEST-011,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_SELF_REVIEW_20260630.csv,19,69a1c3d9bc7c40d502e3997a9ca6864f4c91d8ef7523f7c3012cad0cdd8e11ea,GENERATED_GATE15_REVIEW_ONLY_NO_AUTH,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics
G15J-MANIFEST-012,reports/joint_interface_20260630/NODI_COMSOL_GATE15_SIDEWALL_VALIDATION_PLAN_20260630.csv,6,8a934e3fd58456ae411b70c9c05fe8436d8d7a351771a26a5b72fb5c01d98ab5,GENERATED_GATE15_REVIEW_ONLY_NO_AUTH,review-only bilateral contract v3 closure;static preflight readiness;COMSOL Gate15 no-run instruction,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;true sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics
