evidence_field,candidate_sha256,candidate_artifact,candidate_status
required_test_result_artifact_sha256,71342ca0ff6a59d0b64b8f15b4162bd4c0f5e4f988e56c53194f0611c5552543,NODI_COMSOL_GATE30_31_SIDEWALL_PROOF_SUMMARY_METRICS_20260630.json,candidate_generated_not_registered
dt_convergence_evidence_sha256,71342ca0ff6a59d0b64b8f15b4162bd4c0f5e4f988e56c53194f0611c5552543,NODI_COMSOL_GATE30_31_SIDEWALL_PROOF_SUMMARY_METRICS_20260630.json,candidate_generated_not_registered
equilibrium_uniformity_evidence_sha256,9be4ba92b951ffdfcb1fe15fe9e210e9e95dc1f20893a215865128548f0b61dc,NODI_COMSOL_GATE30_31_SIDEWALL_PROOF_RAW_METRICS_20260630.json,candidate_generated_not_registered
no_boundary_atom_evidence_sha256,9be4ba92b951ffdfcb1fe15fe9e210e9e95dc1f20893a215865128548f0b61dc,NODI_COMSOL_GATE30_31_SIDEWALL_PROOF_RAW_METRICS_20260630.json,candidate_generated_not_registered
corner_active_set_evidence_sha256,71342ca0ff6a59d0b64b8f15b4162bd4c0f5e4f988e56c53194f0611c5552543,NODI_COMSOL_GATE30_31_SIDEWALL_PROOF_SUMMARY_METRICS_20260630.json,candidate_generated_not_registered
angle_depth_mutation_evidence_sha256,71342ca0ff6a59d0b64b8f15b4162bd4c0f5e4f988e56c53194f0611c5552543,NODI_COMSOL_GATE30_31_SIDEWALL_PROOF_SUMMARY_METRICS_20260630.json,candidate_generated_not_registered
rectangle_limit_evidence_sha256,71342ca0ff6a59d0b64b8f15b4162bd4c0f5e4f988e56c53194f0611c5552543,NODI_COMSOL_GATE30_31_SIDEWALL_PROOF_SUMMARY_METRICS_20260630.json,candidate_generated_not_registered
rng_seed_matrix_sha256,77a6a417d7243b71c4a7918c6175fac572af70c4bcf8ca8e608f45dcaa1636ef,NODI_COMSOL_GATE30_31_SIDEWALL_RNG_SEED_MATRIX_20260630.csv,candidate_generated_not_registered
test_parameter_matrix_sha256,702ac58b4e2d5cb5ddbbe58e0eed829d6d5784b4b002c51523328b9f1c3c8bc5,NODI_COMSOL_GATE30_31_SIDEWALL_TEST_PARAMETER_MATRIX_20260630.csv,candidate_generated_not_registered
test_environment_lock_sha256,bb89eb3d7e6748762e48b1c62f7a2a5dea4ceecb18043b9a8b85cdda42446835,NODI_COMSOL_GATE30_31_SIDEWALL_SOURCE_LOCK_20260630.csv,candidate_generated_not_registered
