path,git_status,classification,release_decision
REVIEW_BUILD_MANIFEST.json,M ,non_release_dirty_context,ignored_for_route_evidence_input_packet
REVIEW_PACKAGE_HASHES.sha256, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
REVIEW_PACKAGE_MANIFEST.json, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
configs/realism_v2/ev_sample_profiles.yaml, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
configs/realism_v2/forbidden_claims_lexicon.yaml, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
configs/realism_v2/noise_readout_scenario_bundle.yaml, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
configs/realism_v2/reason_code_vocabulary.yaml, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
configs/realism_v2/route_role_vocabulary.yaml, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
papers/provenance/paper_manifest.csv, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
papers/provenance/unavailable_or_not_packaged_papers.csv, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/518_NODI_PACKAGE_C_PROMOTION_SURFACE_QUARANTINE_AND_RELEASE_V2_20260701.md, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/543_NODI_PACKAGE_C_SIDEWALL_WET_SURFACE_OBSERVATION_INTAKE_20260701.md, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/544_NODI_PACKAGE_C_SIDEWALL_PRESSURE_FLOW_BRIDGE_RELEASE_V1_20260701.md, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/547_NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_20260701.md, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/561_NODI_PACKAGE_C_SIDEWALL_ROUTE_DECISION_EXECUTION_READINESS_20260701.md, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/569_NODI_PACKAGE_C_SIDEWALL_DETECTOR_WET_EVIDENCE_ACTIVATION_RUNNER_20260701.md, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/571_NODI_PACKAGE_C_SIDEWALL_ROUTE_EVIDENCE_INPUT_PACKET_20260701.md, M,route_evidence_input_packet_output,included_or_rewritten_by_input_packet_builder
reports/576_NODI_PACKAGE_C_SIDEWALL_YIELD_DETECTION_CLAIM_VALUE_REVIEW_20260701.md, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/SIDEWALL_STATIC_INTEROP_RC1_FINAL_CLOSURE_AND_RC2_BACKLOG_20260630.md, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/SIDEWALL_STATIC_INTEROP_RC1_NODI_MASTER_REPORT_20260630.md, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_MANIFEST_20260630.csv, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_REPORT_20260630.json, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_STATUS_20260630.json, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/joint_interface_20260630/NODI_COMSOL_GATE25_SIDEWALL_GATE24_SOURCE_LOCK_20260630.csv, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/joint_interface_20260630/NODI_COMSOL_GATE25_SIDEWALL_MANIFEST_20260630.csv, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/joint_interface_20260630/NODI_COMSOL_GATE25_SIDEWALL_REPORT_20260630.json, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/joint_interface_20260630/NODI_COMSOL_GATE25_SIDEWALL_STATUS_20260630.json, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
reports/joint_interface_20260630/NODI_COMSOL_GATE26_SIDEWALL_GATE25_SOURCE_LOCK_20260630.csv, M,non_release_dirty_context,ignored_for_route_evidence_input_packet
