artifact_id,path,sha256,disposition,allowed_use,blocked_use,claim_boundary
status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_STATUS_20260701.json,d0d569a5056c480c95957d1e29a7458d32448a7db481eaddc09f4024649dc6d2,NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_READY_WAITING_FOR_REAL_ACCEPTED_EVIDENCE,route formula policy review;route-score candidate formula activation after real accepted evidence,winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion;fixture rows as evidence,route_formula_policy_review_route_score_candidate_not_winner_not_yield_not_detection
policy_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_POLICY_ROWS_20260701.csv,dcc192757d4bde1f53f36556bcf7aa07994c81274c00a46a34215bfc2792e2f0,NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_READY_WAITING_FOR_REAL_ACCEPTED_EVIDENCE,route formula policy review;route-score candidate formula activation after real accepted evidence,winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion;fixture rows as evidence,route_formula_policy_review_route_score_candidate_not_winner_not_yield_not_detection
fixture_policy_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_FIXTURE_POLICY_ROWS_NOT_EVIDENCE_20260701.csv,5d7432b4a5c60fde9ea92746946d996aa75d4fd0d3e5d9bbce463474cd7e428a,NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_READY_WAITING_FOR_REAL_ACCEPTED_EVIDENCE,route formula policy review;route-score candidate formula activation after real accepted evidence,winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion;fixture rows as evidence,route_formula_policy_review_route_score_candidate_not_winner_not_yield_not_detection
guard_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_GUARD_ROWS_20260701.csv,fc16eb94741ba81901e80bc2f59733b60e404d36104ef3ae4a6b367c80343315,NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_READY_WAITING_FOR_REAL_ACCEPTED_EVIDENCE,route formula policy review;route-score candidate formula activation after real accepted evidence,winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion;fixture rows as evidence,route_formula_policy_review_route_score_candidate_not_winner_not_yield_not_detection
fixture_guard_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_FIXTURE_GUARD_ROWS_NOT_EVIDENCE_20260701.csv,fc16eb94741ba81901e80bc2f59733b60e404d36104ef3ae4a6b367c80343315,NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_READY_WAITING_FOR_REAL_ACCEPTED_EVIDENCE,route formula policy review;route-score candidate formula activation after real accepted evidence,winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion;fixture rows as evidence,route_formula_policy_review_route_score_candidate_not_winner_not_yield_not_detection
source_lock,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_SOURCE_LOCK_20260701.csv,dc989c08275a43140536b81669f0fb510f5d6f4e0197de12178e4a64d2ab97da,NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_READY_WAITING_FOR_REAL_ACCEPTED_EVIDENCE,route formula policy review;route-score candidate formula activation after real accepted evidence,winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion;fixture rows as evidence,route_formula_policy_review_route_score_candidate_not_winner_not_yield_not_detection
dirty_context,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_DIRTY_CONTEXT_20260701.csv,f076432271d28ce287f5300c38a6c1a6dd41f26a27770e05248d2d9a7e7a1454,NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_READY_WAITING_FOR_REAL_ACCEPTED_EVIDENCE,route formula policy review;route-score candidate formula activation after real accepted evidence,winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion;fixture rows as evidence,route_formula_policy_review_route_score_candidate_not_winner_not_yield_not_detection
report_json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_REPORT_20260701.json,65d732f47b0755983fa70ff686d9386535d70923a660f4ae852cb3b221dfe011,NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_READY_WAITING_FOR_REAL_ACCEPTED_EVIDENCE,route formula policy review;route-score candidate formula activation after real accepted evidence,winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion;fixture rows as evidence,route_formula_policy_review_route_score_candidate_not_winner_not_yield_not_detection
master_report,reports/574_NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_20260701.md,3ec6970fb3d2a35b29820079797d6c8cb7eafecafc3429ac2ca5436d21ab499e,NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_READY_WAITING_FOR_REAL_ACCEPTED_EVIDENCE,route formula policy review;route-score candidate formula activation after real accepted evidence,winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion;fixture rows as evidence,route_formula_policy_review_route_score_candidate_not_winner_not_yield_not_detection
manifest,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_MANIFEST_20260701.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_READY_WAITING_FOR_REAL_ACCEPTED_EVIDENCE,route formula policy review;route-score candidate formula activation after real accepted evidence,winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion;fixture rows as evidence,route_formula_policy_review_route_score_candidate_not_winner_not_yield_not_detection
